theme,indicator_key,label,genesis_table,DE408,DE409,DE40A,DE40B,DE40C,DE71D,DE721,DE722,DE723,DE724,DE725,DE734,DE737,LL: east-brandenburg,LL: havelland,LL: north-hessian-loess,LL: hessian-low-mountain,LL: rheingau,include_yn,notes
Farms,tenancy_rented_pct,Share of UAA rented (%),derived,,,,,,,,,,,,,,,,,,,,
Farms,farm_labour_fte,Farm labour (FTE),derived,,,,,,,,,,,,,,,,,,,,
Farms,farms_lt5ha,Farms < 5 ha (count),derived,,,,,,,,,,,,,,,,,,,,
Farms,farms_gt100ha,Farms >= 100 ha (count),derived,,,,,,,,,,,,,,,,,,,,
Crops,crop_cereals_ha,Cereals area (ha),derived,,,,,,,,,,,,,,,,,,,,
Crops,crop_oilseed_ha,Oilseed area (ha),derived,,,,,,,,,,,,,,,,,,,,
Crops,crop_legumes_ha,Legumes area (ha),derived,,,,,,,,,,,,,,,,,,,,
Crops,crop_root_ha,Root crops area (ha),derived,,,,,,,,,,,,,,,,,,,,
Crops,crop_fodder_grass_ha,Fodder grass area (ha),derived,,,,,,,,,,,,,,,,,,,,
Crops,crop_vegetables_ha,Vegetables area (ha),derived,,,,,,,,,,,,,,,,,,,,
Livestock,livestock_gve_total,Total livestock (GVE / livestock units),derived,,,,,,,,,,,,,,,,,,,,
Livestock,livestock_gve_per_ha,Livestock density (GVE per ha UAA),derived,,,,,,,,,,,,,,,,,,,,
Livestock,livestock_cattle_head,Cattle headcount,derived,,,,,,,,,,,,,,,,,,,,
Livestock,livestock_dairy_cows,Dairy cows,derived,,,,,,,,,,,,,,,,,,,,
Livestock,livestock_pigs_head,Pigs headcount,derived,,,,,,,,,,,,,,,,,,,,
Livestock,livestock_poultry_head,Poultry headcount,derived,,,,,,,,,,,,,,,,,,,,
Inputs & pressure,n_surplus_kg_ha,N surplus (kg per ha UAA),derived,,,,,,,,,,,,,,,,,,,,
Inputs & pressure,p_surplus_kg_ha,P surplus (kg per ha UAA),derived,,,,,,,,,,,,,,,,,,,,
Inputs & pressure,pesticide_kg_ha,Pesticide active substance (kg per ha),derived,,,,,,,,,,,,,,,,,,,,
Inputs & pressure,irrigation_area_ha,Irrigated area (ha),derived,,,,,,,,,,,,,,,,,,,,
Inputs & pressure,irrigation_water_m3,Irrigation water use (m3),derived,,,,,,,,,,,,,,,,,,,,
Nature & environment,forest_area_ha,Forest area - detail (ha),derived,44150.0,50282.0,73189.0,47643.0,107786.0,43842.0,29643.0,51573.0,25045.0,51631.0,56621.0,51069.0,43604.0,278900.0,44150.0,94673.0,214513.0,43842.0,,
Nature & environment,forest_public_ha,Public forest (ha),derived,,,,,,,,,,,,,,,,,,,,
Nature & environment,forest_private_ha,Private forest (ha),derived,,,,,,,,,,,,,,,,,,,,
Nature & environment,natura2000_ha,Natura 2000 area (ha),derived,,,,,,,,,,,,,,,,,,,,
Nature & environment,nature_reserves_ha,Nature reserves (ha),derived,,,,,,,,,,,,,,,,,,,,
Nature & environment,landscape_protection_ha,Landscape protection zones (ha),derived,,,,,,,,,,,,,,,,,,,,
Nature & environment,agr_ch4_kt,Agricultural CH4 emissions (kt CO2eq),derived,,,,,,,,,,,,,,,,,,,,
Nature & environment,agr_n2o_kt,Agricultural N2O emissions (kt CO2eq),derived,,,,,,,,,,,,,,,,,,,,
Nature & environment,groundwater_nitrate_mg_l,Groundwater nitrate concentration (mg/l),derived,,,,,,,,,,,,,,,,,,,,
Nature & environment,groundwater_abstraction_1000m3,"Groundwater abstraction, non-public supply (1000 m3)",derived,956.0,12927.0,1204.0,3496.0,3029.0,74.0,849.0,644.0,370.0,279.0,102.0,3281.0,742.0,20656.0,956.0,4023.0,2244.0,74.0,,
Land market,land_price_eur_ha,Agricultural land price (EUR/ha),derived,,,,,,,,,,,,,,,,,,,,
Land market,farm_rent_eur_ha,Average farm rent (EUR/ha),derived,,,,,,,,,,,,,,,,,,,,
Land use,sealed_surface_pct,Sealed/impervious surface (% of total area),derived,11.0,11.5,10.7,14.4,10.1,13.6,18.3,16.9,17.9,14.3,10.6,14.5,11.7,11.4,11.0,13.3,15.0,13.6,,
